                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3978,                 3.4395,                 1.1179,                0.37603,                0.43285,                0.36267,                 0.2362,                 1.2427,                 1.4927,                 1.0468,                 0.0908,                 0.0008,                 0.0008
                      1,                 1.0349,                 1.0863,                0.99131,                0.75409,                 0.7095,                0.73753,                 0.5566,                0.81227,                 0.7802,                0.89656,               0.080629,              0.0016295,              0.0016295
                      2,                0.93335,                0.74872,                0.93784,                0.81551,                0.78392,                0.78992,                0.58528,                0.90094,                0.69111,                0.90683,               0.070406,              0.0024061,              0.0024061
                      3,                0.89633,                0.64235,                0.91852,                0.85408,                0.84089,                0.82227,                0.65291,                0.76999,                0.56238,                0.87903,                0.06013,              0.0031298,              0.0031298
                      4,                0.90365,                0.60852,                0.91546,                0.85487,                0.85901,                 0.8486,                0.65479,                0.79361,                0.56054,                 0.8813,               0.049801,              0.0038006,              0.0038006
                      5,                 0.8673,                0.62129,                0.91642,                0.85943,                0.86441,                0.85349,                0.67159,                0.79551,                 0.5279,                0.88275,               0.039418,              0.0044184,              0.0044184
                      6,                0.95219,                0.60846,                0.92544,                0.87242,                 0.8788,                0.85414,                0.61716,                 1.0419,                0.53331,                0.93164,               0.028983,              0.0049834,              0.0049834
                      7,                0.94823,                0.54436,                0.92233,                0.90949,                0.86481,                0.86439,                0.65024,                0.96467,                0.54343,                0.91495,               0.018495,              0.0054954,              0.0054954
                      8,                0.97421,                0.54409,                0.91419,                 0.8995,                0.86956,                0.87167,                0.64132,                0.99571,                0.47296,                0.92545,              0.0079546,              0.0059546,              0.0059546
                      9,                0.94642,                0.49426,                0.91735,                0.90642,                0.87657,                0.85946,                0.70565,                0.73634,                0.41582,                0.86724,              0.0058356,              0.0058356,              0.0058356
                     10,                0.92746,                0.52709,                 0.9125,                0.90549,                0.85601,                0.86185,                0.66448,                 0.8994,                0.58655,                0.90503,              0.0058356,              0.0058356,              0.0058356
                     11,                0.88743,                0.53978,                0.91395,                0.88755,                0.86256,                0.86044,                 0.7007,                0.74908,                0.43883,                0.86734,              0.0055952,              0.0055952,              0.0055952
                     12,                0.91084,                0.53353,                0.91078,                0.90657,                0.85463,                0.85664,                0.68303,                0.76336,                0.46278,                0.87347,              0.0053547,              0.0053547,              0.0053547
                     13,                0.91645,                0.52125,                0.91045,                0.89207,                0.86638,                0.86993,                0.67616,                0.84302,                0.47586,                0.89242,              0.0051142,              0.0051142,              0.0051142
                     14,                0.85543,                0.51503,                0.90205,                0.91123,                 0.8588,                0.86285,                0.69897,                0.76287,                0.50632,                0.87797,              0.0048737,              0.0048737,              0.0048737
                     15,                0.83193,                0.50719,                0.89763,                0.89666,                0.85945,                0.86368,                 0.6963,                0.78916,                0.43114,                0.88196,              0.0046332,              0.0046332,              0.0046332
                     16,                0.85749,                0.48163,                0.89734,                0.89169,                0.87458,                0.87344,                0.70709,                0.77408,                0.44588,                0.87662,              0.0043927,              0.0043927,              0.0043927
                     17,                 0.8365,                0.46977,                0.90168,                0.90651,                0.87166,                0.87707,                 0.7199,                0.75413,                0.43645,                0.87108,              0.0041522,              0.0041522,              0.0041522
                     18,                0.83514,                0.45297,                 0.8923,                0.90789,                0.87213,                0.87956,                 0.7285,                0.73059,                0.39733,                0.86512,              0.0039118,              0.0039118,              0.0039118
                     19,                0.82756,                0.42061,                0.89512,                0.90721,                0.87263,                0.88261,                0.72208,                0.78029,                 0.3947,                0.87187,              0.0036713,              0.0036713,              0.0036713
                     20,                0.79857,                0.40667,                0.88536,                0.90953,                0.86684,                 0.8797,                0.71559,                 0.7679,                0.38804,                0.87103,              0.0034308,              0.0034308,              0.0034308
                     21,                0.81235,                0.42105,                0.88162,                0.90809,                0.87166,                0.88328,                0.73418,                0.71103,                0.40471,                0.85987,              0.0031903,              0.0031903,              0.0031903
                     22,                0.81088,                0.41271,                0.88662,                0.90323,                 0.8626,                0.88204,                0.73614,                0.72643,                0.38636,                0.86237,              0.0029498,              0.0029498,              0.0029498
                     23,                0.77441,                0.38496,                0.88602,                0.91614,                0.86976,                0.88236,                0.73956,                0.71171,                0.37246,                0.85858,              0.0027093,              0.0027093,              0.0027093
                     24,                 0.7634,                0.36501,                0.87881,                0.91447,                0.87744,                0.87895,                0.73764,                0.70158,                0.36759,                0.85459,              0.0024688,              0.0024688,              0.0024688
                     25,                0.77523,                0.35994,                0.87925,                0.91251,                0.88376,                0.88368,                0.74458,                0.68953,                0.36338,                0.85239,              0.0022284,              0.0022284,              0.0022284
                     26,                0.76502,                0.36251,                0.87457,                0.89611,                0.87459,                0.88257,                0.74145,                0.70215,                0.37605,                0.85723,              0.0019879,              0.0019879,              0.0019879
                     27,                0.75407,                0.34835,                 0.8769,                0.89106,                0.87663,                0.87186,                0.74026,                0.68929,                 0.3677,                0.85233,              0.0017474,              0.0017474,              0.0017474
                     28,                 0.7483,                0.34254,                0.88099,                0.89395,                0.87156,                0.87939,                 0.7463,                0.68716,                0.36687,                0.85125,              0.0015069,              0.0015069,              0.0015069
                     29,                0.73967,                0.35378,                0.86972,                0.90257,                0.88532,                0.89093,                0.75147,                 0.7093,                0.36321,                0.85297,              0.0012664,              0.0012664,              0.0012664
                     30,                0.74281,                 0.3499,                0.87656,                0.90465,                0.87438,                0.88084,                0.73813,                0.69786,                0.36027,                0.85406,              0.0010259,              0.0010259,              0.0010259
                     31,                0.73534,                0.34034,                0.88237,                0.89977,                0.87739,                0.88064,                0.74615,                0.70062,                0.36158,                0.85362,             0.00078545,             0.00078545,             0.00078545
                     32,                0.73344,                0.33679,                0.87497,                0.89841,                0.87847,                0.88181,                0.74584,                0.70624,                0.36041,                0.85624,             0.00054497,             0.00054497,             0.00054497
